Quantity,Weight,Cost
90.09,20003.00,1802070.27
2933.93,8001.20,23474968.72
483.48,9305.40,4499000.58
231.23,1440.22,333022.59
64.06,203.03,13006.94
4.00,10001.50,40046.01
4.00,10001.50,40046.01
4.00,10001.50,40046.01
2.00,12001.80,24027.60
4.00,900.14,3604.14
4.00,100.02,400.46
2.00,1400.21,2803.22
230.23,61469.11,14152032.08
140.14,2000.30,280322.04
1591.59,4900.74,7799960.82
1.00,10001.50,10011.50
1.00,12001.80,12013.80
2.00,10001.50,20023.00
2.00,12001.80,24027.60
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.72,490232.62
1.00,8001.20,8009.20
1.00,9001.35,9010.35
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20006.00,1802070.23
2933.49,8002.40,23474968.19
483.41,9306.79,4499000.48
231.20,1440.43,333022.58
64.05,203.06,13006.94
4.00,10003.00,40046.01
4.00,10003.00,40046.01
4.00,10003.00,40046.01
2.00,12003.60,24027.60
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.33,14152031.76
140.12,2000.60,280322.04
1591.35,4901.47,7799960.64
1.00,10003.00,10011.50
1.00,12003.60,12013.80
2.00,10003.00,20023.00
2.00,12003.60,24027.60
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.08,490232.61
1.00,8002.40,8009.20
1.00,9002.70,9010.35
1.00,450.14,450.52
1.00,5001.50,5005.75
90.09,20003.00,1802070.19
2933.93,8001.20,23474967.66
483.48,9305.40,4499000.38
231.23,1440.22,333022.57
64.06,203.03,13006.94
4.00,10001.50,40046.00
4.00,10001.50,40046.00
4.00,10001.50,40046.00
2.00,12001.80,24027.60
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.10,14152031.44
140.14,2000.30,280322.03
1591.59,4900.73,7799960.47
1.00,10001.50,10011.50
1.00,12001.80,12013.80
2.00,10001.50,20023.00
2.00,12001.80,24027.60
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.72,490232.60
1.00,8001.20,8009.20
1.00,9001.35,9010.35
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20006.00,1802070.15
2933.49,8002.40,23474967.13
483.41,9306.79,4499000.28
231.20,1440.43,333022.56
64.05,203.06,13006.94
4.00,10003.00,40046.00
4.00,10003.00,40046.00
4.00,10003.00,40046.00
2.00,12003.60,24027.60
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.32,14152031.13
140.12,2000.60,280322.02
1591.35,4901.47,7799960.29
1.00,10003.00,10011.50
1.00,12003.60,12013.80
2.00,10003.00,20023.00
2.00,12003.60,24027.60
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.08,490232.58
1.00,8002.40,8009.20
1.00,9002.70,9010.35
1.00,450.13,450.52
1.00,5001.50,5005.75
90.09,20003.00,1802070.11
2933.93,8001.20,23474966.60
483.48,9305.40,4499000.18
231.23,1440.22,333022.56
64.06,203.03,13006.94
4.00,10001.50,40046.00
4.00,10001.50,40046.00
4.00,10001.50,40046.00
2.00,12001.80,24027.60
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.10,14152030.81
140.14,2000.30,280322.02
1591.59,4900.73,7799960.12
1.00,10001.50,10011.50
1.00,12001.80,12013.80
2.00,10001.50,20023.00
2.00,12001.80,24027.60
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.71,490232.57
1.00,8001.20,8009.20
1.00,9001.35,9010.35
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20006.00,1802070.07
2933.49,8002.40,23474966.08
483.41,9306.79,4499000.07
231.20,1440.43,333022.55
64.05,203.06,13006.94
4.00,10003.00,40046.00
4.00,10003.00,40046.00
4.00,10003.00,40046.00
2.00,12003.60,24027.60
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.32,14152030.49
140.12,2000.60,280322.01
1591.35,4901.47,7799959.94
1.00,10003.00,10011.50
1.00,12003.60,12013.80
2.00,10003.00,20023.00
2.00,12003.60,24027.60
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.08,490232.56
1.00,8002.40,8009.20
