WorkCode,ResourceGroupCode,ResourceCode,ResourceClassification,Quantity,Weight,Cost
L2903,T29391,R9942,M,90.09,20003.00,1802070.27
L2903,T29391,R9943,M,2933.93,8001.20,23474968.72
L2903,T29391,R9944,M,483.48,9305.40,4499000.58
L2903,T29391,R9945,M,231.23,1440.22,333022.59
L2903,T29391,R9946,M,64.06,203.03,13006.94
L2903,T29391,R2039,L,4.00,10001.50,40046.01
L2903,T29391,R2040,L,4.00,10001.50,40046.01
L2903,T29391,R2041,L,4.00,10001.50,40046.01
L2903,T29391,R2042,L,2.00,12001.80,24027.60
L2903,T29391,M34211,F,4.00,900.14,3604.14
L2903,T29391,M34212,F,4.00,100.02,400.46
L2903,T29391,M34213,F,2.00,1400.21,2803.22
L3092,D349201,P231231,M,230.23,61469.11,14152032.08
L3092,D349201,P231232,M,140.14,2000.30,280322.04
L3092,D349201,P231233,M,1591.59,4900.74,7799960.82
L3092,D349201,R0032,L,1.00,10001.50,10011.50
L3092,D349201,R0033,L,1.00,12001.80,12013.80
L3092,D349201,R0034,L,2.00,10001.50,20023.00
L3092,D349201,R0035,L,2.00,12001.80,24027.60
L3092,D349201,M3241,F,2.00,800.12,1601.84
L3092,D349201,M23141,F,2.00,1200.18,2402.76
T3940,R39402,L3092,M,1.00,1400.21,1401.61
T3941,R39402,P302012,M,4.00,122435.72,490232.62
T3942,R39402,R1211,L,1.00,8001.20,8009.20
T3943,R39402,R1212,L,1.00,9001.35,9010.35
T3944,R39402,R1213,F,1.00,450.07,450.52
T3945,R39402,R1214,F,1.00,5000.75,5005.75
L2903,T29391,R9942,M,90.08,20006.00,1802070.23
L2903,T29391,R9943,M,2933.49,8002.40,23474968.19
L2903,T29391,R9944,M,483.41,9306.79,4499000.48
L2903,T29391,R9945,M,231.20,1440.43,333022.58
L2903,T29391,R9946,M,64.05,203.06,13006.94
L2903,T29391,R2039,L,4.00,10003.00,40046.01
L2903,T29391,R2040,L,4.00,10003.00,40046.01
L2903,T29391,R2041,L,4.00,10003.00,40046.01
L2903,T29391,R2042,L,2.00,12003.60,24027.60
L2903,T29391,M34211,F,4.00,900.27,3604.14
L2903,T29391,M34212,F,4.00,100.03,400.46
L2903,T29391,M34213,F,2.00,1400.42,2803.22
L3092,D349201,P231231,M,230.20,61478.33,14152031.76
L3092,D349201,P231232,M,140.12,2000.60,280322.04
L3092,D349201,P231233,M,1591.35,4901.47,7799960.64
L3092,D349201,R0032,L,1.00,10003.00,10011.50
L3092,D349201,R0033,L,1.00,12003.60,12013.80
L3092,D349201,R0034,L,2.00,10003.00,20023.00
L3092,D349201,R0035,L,2.00,12003.60,24027.60
L3092,D349201,M3241,F,2.00,800.24,1601.84
L3092,D349201,M23141,F,2.00,1200.36,2402.76
T3940,R39402,L3092,M,1.00,1400.42,1401.61
T3941,R39402,P302012,M,4.00,122454.08,490232.61
T3942,R39402,R1211,L,1.00,8002.40,8009.20
T3943,R39402,R1212,L,1.00,9002.70,9010.35
T3944,R39402,R1213,F,1.00,450.14,450.52
T3945,R39402,R1214,F,1.00,5001.50,5005.75
L2903,T29391,R9942,M,90.09,20003.00,1802070.19
L2903,T29391,R9943,M,2933.93,8001.20,23474967.66
L2903,T29391,R9944,M,483.48,9305.40,4499000.38
L2903,T29391,R9945,M,231.23,1440.22,333022.57
L2903,T29391,R9946,M,64.06,203.03,13006.94
L2903,T29391,R2039,L,4.00,10001.50,40046.00
L2903,T29391,R2040,L,4.00,10001.50,40046.00
L2903,T29391,R2041,L,4.00,10001.50,40046.00
L2903,T29391,R2042,L,2.00,12001.80,24027.60
L2903,T29391,M34211,F,4.00,900.13,3604.14
L2903,T29391,M34212,F,4.00,100.01,400.46
L2903,T29391,M34213,F,2.00,1400.21,2803.22
L3092,D349201,P231231,M,230.23,61469.10,14152031.44
L3092,D349201,P231232,M,140.14,2000.30,280322.03
L3092,D349201,P231233,M,1591.59,4900.73,7799960.47
L3092,D349201,R0032,L,1.00,10001.50,10011.50
L3092,D349201,R0033,L,1.00,12001.80,12013.80
L3092,D349201,R0034,L,2.00,10001.50,20023.00
L3092,D349201,R0035,L,2.00,12001.80,24027.60
L3092,D349201,M3241,F,2.00,800.12,1601.84
L3092,D349201,M23141,F,2.00,1200.18,2402.76
T3940,R39402,L3092,M,1.00,1400.21,1401.61
T3941,R39402,P302012,M,4.00,122435.72,490232.60
T3942,R39402,R1211,L,1.00,8001.20,8009.20
T3943,R39402,R1212,L,1.00,9001.35,9010.35
T3944,R39402,R1213,F,1.00,450.07,450.52
T3945,R39402,R1214,F,1.00,5000.75,5005.75
L2903,T29391,R9942,M,90.08,20006.00,1802070.15
L2903,T29391,R9943,M,2933.49,8002.40,23474967.13
L2903,T29391,R9944,M,483.41,9306.79,4499000.28
L2903,T29391,R9945,M,231.20,1440.43,333022.56
